Loaded TRU codes: 3435
[180/3435] 275128.390.000033: parsed=0 listed_total=0 aggregate_rows=97
[181/3435] 275128.900.000003: parsed=0 listed_total=0 aggregate_rows=97
[182/3435] 275115.500.000000: parsed=0 listed_total=0 aggregate_rows=97
[183/3435] 275113.500.000000: parsed=0 listed_total=0 aggregate_rows=97
[184/3435] 275128.900.000002: parsed=0 listed_total=0 aggregate_rows=97
[185/3435] 265163.300.000002: parsed=0 listed_total=0 aggregate_rows=97
[186/3435] 265152.350.000003: parsed=0 listed_total=0 aggregate_rows=97
[187/3435] 265163.500.000009: parsed=0 listed_total=0 aggregate_rows=97
[188/3435] 271231.900.000051: parsed=1 listed_total=1 aggregate_rows=98
[189/3435] 271162.900.000000: parsed=0 listed_total=0 aggregate_rows=98
[190/3435] 259929.490.000349: parsed=0 listed_total=0 aggregate_rows=98
[191/3435] 273211.300.000002: parsed=0 listed_total=0 aggregate_rows=98
[192/3435] 273211.300.000000: parsed=0 listed_total=0 aggregate_rows=98
[193/3435] 273213.700.000131: parsed=0 listed_total=0 aggregate_rows=98
[194/3435] 273213.700.000314: parsed=0 listed_total=0 aggregate_rows=98
[195/3435] 273213.730.000055: parsed=0 listed_total=0 aggregate_rows=98
[196/3435] 273213.700.000315: parsed=0 listed_total=0 aggregate_rows=98
[197/3435] 273213.730.000024: parsed=0 listed_total=0 aggregate_rows=98
[198/3435] 273213.730.000047: parsed=0 listed_total=0 aggregate_rows=98
[199/3435] 273213.730.000020: parsed=1 listed_total=1 aggregate_rows=99
[200/3435] 273213.730.000027: parsed=0 listed_total=0 aggregate_rows=99
[201/3435] 273213.730.000151: parsed=0 listed_total=0 aggregate_rows=99
[202/3435] 273213.730.000048: parsed=0 listed_total=0 aggregate_rows=99
[203/3435] 273213.700.000250: parsed=0 listed_total=0 aggregate_rows=99
[204/3435] 273213.700.000282: parsed=0 listed_total=0 aggregate_rows=99
[205/3435] 273213.700.000248: parsed=0 listed_total=0 aggregate_rows=99
[206/3435] 273213.700.000266: parsed=0 listed_total=0 aggregate_rows=99
[207/3435] 273213.730.000124: parsed=0 listed_total=0 aggregate_rows=99
[208/3435] 273213.730.000125: parsed=0 listed_total=0 aggregate_rows=99
[209/3435] 265163.500.000011: parsed=3 listed_total=3 aggregate_rows=102
[210/3435] 273213.730.000058: parsed=0 listed_total=0 aggregate_rows=102
[211/3435] 273213.700.000270: parsed=1 listed_total=1 aggregate_rows=103
[212/3435] 273213.730.000137: parsed=0 listed_total=0 aggregate_rows=103
[213/3435] 273213.700.000271: parsed=0 listed_total=0 aggregate_rows=103
[214/3435] 273213.730.000138: parsed=0 listed_total=0 aggregate_rows=103
[215/3435] 273213.700.000273: parsed=0 listed_total=0 aggregate_rows=103
[216/3435] 273213.730.000116: parsed=0 listed_total=0 aggregate_rows=103
[217/3435] 273213.700.000043: parsed=2 listed_total=2 aggregate_rows=105
[218/3435] 273213.700.000047: parsed=0 listed_total=0 aggregate_rows=105
[219/3435] 273213.730.000062: parsed=0 listed_total=0 aggregate_rows=105
[220/3435] 273213.700.000052: parsed=0 listed_total=0 aggregate_rows=105
[221/3435] 273213.700.000051: parsed=0 listed_total=0 aggregate_rows=105
[222/3435] 273213.730.000061: parsed=0 listed_total=0 aggregate_rows=105
[223/3435] 273213.700.000041: parsed=0 listed_total=0 aggregate_rows=105
[224/3435] 273213.730.000053: parsed=0 listed_total=0 aggregate_rows=105
[225/3435] 273213.700.000042: parsed=0 listed_total=0 aggregate_rows=105
[226/3435] 273213.700.000035: parsed=0 listed_total=0 aggregate_rows=105
[227/3435] 273213.700.000272: parsed=1 listed_total=1 aggregate_rows=106
[228/3435] 273213.700.000036: parsed=1 listed_total=1 aggregate_rows=107
[229/3435] 273213.730.000127: parsed=0 listed_total=0 aggregate_rows=107
[230/3435] 273213.730.000050: parsed=0 listed_total=0 aggregate_rows=107
[231/3435] 273213.700.000038: parsed=0 listed_total=0 aggregate_rows=107
[232/3435] 273213.700.000007: parsed=2 listed_total=2 aggregate_rows=109
[233/3435] 273213.700.000010: parsed=0 listed_total=0 aggregate_rows=109
[234/3435] 273213.700.000011: parsed=0 listed_total=0 aggregate_rows=109
[235/3435] 273213.700.000013: parsed=0 listed_total=0 aggregate_rows=109
[236/3435] 273213.730.000008: parsed=0 listed_total=0 aggregate_rows=109
[237/3435] 273213.730.000028: parsed=0 listed_total=0 aggregate_rows=109
[238/3435] 273213.730.000054: parsed=0 listed_total=0 aggregate_rows=109
[239/3435] 273213.730.000150: parsed=0 listed_total=0 aggregate_rows=109
[240/3435] 273213.700.000014: parsed=0 listed_total=0 aggregate_rows=109
[241/3435] 273213.730.000000: parsed=0 listed_total=0 aggregate_rows=109
[242/3435] 273213.700.000005: parsed=0 listed_total=0 aggregate_rows=109
[243/3435] 273213.700.000006: parsed=0 listed_total=0 aggregate_rows=109
[244/3435] 273213.730.000022: parsed=0 listed_total=0 aggregate_rows=109
[245/3435] 273213.730.000023: parsed=0 listed_total=0 aggregate_rows=109
[246/3435] 273213.700.000050: parsed=0 listed_total=0 aggregate_rows=109
[247/3435] 273213.700.000003: parsed=0 listed_total=0 aggregate_rows=109
[248/3435] 273213.700.000002: parsed=2 listed_total=2 aggregate_rows=111
[249/3435] 273213.700.000004: parsed=0 listed_total=0 aggregate_rows=111
[250/3435] 273213.730.000152: parsed=0 listed_total=0 aggregate_rows=111
[251/3435] 273214.000.000041: parsed=0 listed_total=0 aggregate_rows=111
[252/3435] 273211.300.000004: parsed=1 listed_total=1 aggregate_rows=112
[253/3435] 273211.300.000001: parsed=0 listed_total=0 aggregate_rows=112
[254/3435] 273211.300.000005: parsed=0 listed_total=0 aggregate_rows=112
[255/3435] 273211.300.000003: parsed=1 listed_total=1 aggregate_rows=113
[256/3435] 273211.300.000006: parsed=0 listed_total=0 aggregate_rows=113
[257/3435] 273211.300.000009: parsed=0 listed_total=0 aggregate_rows=113
[258/3435] 273211.300.000010: parsed=0 listed_total=0 aggregate_rows=113
[259/3435] 273211.300.000012: parsed=0 listed_total=0 aggregate_rows=113
[260/3435] 273211.300.000013: parsed=0 listed_total=0 aggregate_rows=113
[261/3435] 273211.300.000007: parsed=0 listed_total=0 aggregate_rows=113
