№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
81302906-КРБС1,243411.700,Проволока (сталь),15760433-1 Строительно-монтажные работы по объекту «Строительство здания ГККП «Школа искусств в с.Узынагаш (со сносом существующего здания)» ГУ «Отдела образования Жамбылского района Алматинской области»,Работы по возведению (строительству) нежилых зданий/сооружений,1,4 025 721 952.00,Конкурс с использованием рейтингово-балльной системы,Закупка состоялась
81307027-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307040-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307056-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307061-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307070-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307078-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307083-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307101-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307112-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307118-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81307124-ОК1,243411.700,Проволока (сталь),"15761587-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
