№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
38018060-ОЛ-ЗЦП1,152013.700.000000,Тапочки,15375968-1 Приобретение мягкого инвентаря,Приобретение мягкого инвентаря,22,23 150 000.00,Запрос ценовых предложений,Закупка состоялась
80371614-ЗЦП1,152032.900.000026,Ботинки,15418559-1 Ботинки с высокими берцами кожаные утепленные на шнурках.,Ботинки,1500,24 776 790.00,Запрос ценовых предложений,Закупка состоялась
35902707-ОЛ-ОК1,152032.920.000015,Ботинки,"14479197-1 Приобретение перчаток, ботинок для ТОО ""Мангистауский атомный энергетический комбинат""","перчатки, ботинки",4,32 641 920.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,202014.300.000000,"Средство дезинфицирующее на основе этанола, 2-пропанола, 1-пропанола, хлорид цетримония",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
74923744-ОК7,202014.300.000000,"Средство дезинфицирующее на основе этанола, 2-пропанола, 1-пропанола, хлорид цетримония",15212167-1 Приобретение дезинфицирующих средств,Средство дезинфицирующее,1003,20 210 450.00,Открытый конкурс,Закупка состоялась
38845950-ОЛ-ОК1,202014.300.000004,Средство дезинфицирующее на основе амония,15761045-1 Государственные закупки (товары для потребностей центра),Государственные закупки (товары для потребностей центра),3,49 600 000.00,Открытый конкурс,Закупка состоялась
74806607-ОК1,202014.300.000004,Средство дезинфицирующее на основе амония,13740470-1 Средство дезинфицирующее на 2025 год,Средство дезинфицирующее,415,15 266 190.00,Открытый конкурс,Закупка состоялась
74088037-АУК9,202014.900.000014,Средство дезинфицирующее на основе соединений альдегидов и четвертично аммониевых соединений,15475390-1 Государственный закуп дезинфицирующих средств,Средство дезинфицирующее,20000,24 000 000.00,Аукцион,Закупка состоялась
75041799-ОК1,202014.900.000014,Средство дезинфицирующее на основе соединений альдегидов и четвертично аммониевых соединений,14363177-1 Закуп товара: Дезинфицирующие средства,Средство дезинфицирующее,7584,45 504 000.00,Открытый конкурс,Закупка состоялась
77499770-ОИ2,202014.900.000014,Средство дезинфицирующее на основе соединений альдегидов и четвертично аммониевых соединений,14152374-1 Приобретение дезинфицирующее средство,Средство дезинфицирующее,11030,28 049 290.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
73651275-ОК2,202014.900.000020,Средство дезинфицирующее на основе перекиси водорода,14639801-1 Закуп дезинфицирующих средств,Средство дезинфицирующее,2298,42 369 375.00,Открытый конкурс,Закупка состоялась
77974084-ОТ2,203012.900.000002,Краска/эмаль,14676352-1 Приобретение холодного пластика (1),Материал пластичный,12000,16 680 000.00,Тендер,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.590.000006,"Средство моющее для чистки ванн и раковин, порошок",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
36046795-ОЛ-ОК1,204132.590.000021,"Средство моющее для проведения химических очисток различного оборудования, жидкость",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,204132.590.000022,"Средство моющее для удаления окисных, известковых, карбонатных отложений с поверхностей, жидкость",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
72646317-ОК5,204132.590.000022,"Средство моющее для удаления окисных, известковых, карбонатных отложений с поверхностей, жидкость","14485829-1 Повторное приобретение декарбона для АО ""Астана-Энергия""",Средство моющее,36.8,39 659 544.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,204132.590.000024,"Средство моющее для любых видов поверхностей, жидкость",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,204132.590.000026,"Средство моющее для любых видов поверхностей, в таблетках",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.590.000032,"Порошок стиральный, для изделий из различных тканей",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
72646458-ОК2,205942.900.000003,Ингибитор против солеотложений,14126789-1 Повторная закупка ннгибитора отложений минеральных солей для АО «Астана-Энергия»,Ингибитор,9.805,28 963 970.00,Открытый конкурс,Закупка состоялась
72911568-ОК2,205959.200.000000,Ингибитор коррозии,"15034453-1 Ингибитор коррозии и накипеобразования для ГКП ""КТЭК""",Ингибитор,7500,35 400 000.00,Открытый конкурс,Закупка состоялась
72382320-ОК1,205959.600.000004,Ингибитор для предотвращения отложения осадков,"14140383-1 Приобретение антискаланта для ТОО ""Мангистауский атомный энергетический комбинат""",Ингибитор,23000,67 850 000.00,Открытый конкурс,Закупка состоялась
74931038-ОК2,205959.600.000004,Ингибитор для предотвращения отложения осадков,"13964019-1 Приобретение ""антискалант / диспергатор (ингибитр) концентрат для ТОО ""Опреснительный завод ""Каспий""",Ингибитор,6120,93 024 000.00,Открытый конкурс,Закупка состоялась
74932247-ОК1,205959.600.000004,Ингибитор для предотвращения отложения осадков,"14008762-1 Приобретение ""антискалант (ингибитор) содержание аминотриметилен фосфоновых кислот (не менее 46%)"" для ТОО ""Опреснительный завод ""Каспий""",Ингибитор,77000,123 200 000.00,Открытый конкурс,Закупка состоялась
34097309-ОЛ-ОК1,221960.300.010000,"Перчатки одноразовые, латексные, стерильные",13770649-1 Перчатки хирургические латексные неопудренные стерильные.,Перчатки хирургические латексные неопудренные стерильные.,5,17 852 400.00,Открытый конкурс,Закупка состоялась
37115472-ОЛ-ОК2,221960.300.010000,"Перчатки одноразовые, латексные, стерильные",15062253-1 Приобретение хирургических перчаток,Приобретение хирургических перчаток,4,33 930 000.00,Открытый конкурс,Закупка состоялась
76065654-ОИ2,221960.500.010002,Перчатки,"13791749-1 Перчатки диагностические нитриловые, нестерильные, неопудренные текстурированные,",Перчатки,385000,15 400 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010063,"Труба для водоснабжения полиэтиленовая, диаметр 10-50 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010064,"Труба для водоснабжения полиэтиленовая, диаметр 51-100 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
34614565-ОЛ-ОК1,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",13989210-2 Модуль резьбовой СКСиП,Модуль резьбовой СКСиП,3,106 773 200.00,Открытый конкурс,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
73343166-ОК2,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",13955602-1 Закуп полиэтиленовых труб,Труба для водоснабжения,4813,18 063 189.00,Открытый конкурс,Закупка состоялась
73378339-ОК1,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",14752037-1 Трубы (по лотам),Труба для водоснабжения,4000,15 012 000.00,Открытый конкурс,Закупка состоялась
73779319-ОК1,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм","13705211-2 закуп полиэтиленовых труб ПТС, СКСиП",Труба для водоснабжения,9156,39 316 596.48,Открытый конкурс,Закупка состоялась
74379007-ОК1,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",15469410-1 Труба полиэтиленовая для водоснабжения,Труба для водоснабжения,4040,17 505 320.00,Открытый конкурс,Закупка состоялась
78611045-ОК1,222121.530.010066,"Труба для водоснабжения полиэтиленовая, диаметр 151-200 мм",15005295-2 Труба полиэтиленовая диаметр 200,Труба для водоснабжения,6250,53 031 250.00,Открытый конкурс,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010067,"Труба для водоснабжения полиэтиленовая, диаметр 201-250 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
73343366-ОК2,222121.530.010067,"Труба для водоснабжения полиэтиленовая, диаметр 201-250 мм",13955602-1 Закуп полиэтиленовых труб,Труба для водоснабжения,5280,39 277 920.00,Открытый конкурс,Закупка состоялась
73375346-ОИ2,222121.530.010067,"Труба для водоснабжения полиэтиленовая, диаметр 201-250 мм",13836694-1 Труба ПЭ 100 SDR-17 д-225мм,Труба для водоснабжения,2000,15 644 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
76836669-ОК1,222121.530.010068,"Труба для водоснабжения полиэтиленовая, диаметр 251-300 мм",14386538-1 Приобретение полиэтиленовых труб,Труба для водоснабжения,2000,18 600 000.00,Открытый конкурс,Закупка состоялась
78628034-ЗЦП1,222121.530.010068,"Труба для водоснабжения полиэтиленовая, диаметр 251-300 мм",14525208-1 Товары для службы по эксплуатации очистных сооружении,Труба для водоснабжения,1000,15 361 000.00,Запрос ценовых предложений,Закупка состоялась
73343414-ОК2,222121.530.010069,"Труба для водоснабжения полиэтиленовая, диаметр 301-350 мм",13955602-1 Закуп полиэтиленовых труб,Труба для водоснабжения,2090,30 261 110.00,Открытый конкурс,Закупка состоялась
73375345-ЗЦП1,222121.530.010069,"Труба для водоснабжения полиэтиленовая, диаметр 301-350 мм",13993923-1 Труба ПЭ 100 SDR-17 д-315мм,Труба для водоснабжения,2000,30 450 000.00,Запрос ценовых предложений,Закупка состоялась
73779355-ОК1,222121.530.010069,"Труба для водоснабжения полиэтиленовая, диаметр 301-350 мм","13705211-2 закуп полиэтиленовых труб ПТС, СКСиП",Труба для водоснабжения,1104,18 287 539.20,Открытый конкурс,Закупка состоялась
78677345-ОК1,222121.530.010069,"Труба для водоснабжения полиэтиленовая, диаметр 301-350 мм","15052108-1 Труба ПЭ 100, d 315 мм SDR-17 для СКСиП",Труба для водоснабжения,1104,18 287 539.20,Открытый конкурс,Закупка состоялась
79454810-ОК1,222121.530.010069,"Труба для водоснабжения полиэтиленовая, диаметр 301-350 мм","15139325-1 Труба ПЭ 100, d 315 мм SDR-17",Труба для водоснабжения,4308,71 361 158.40,Открытый конкурс,Закупка состоялась
73343463-ОК1,222121.530.010070,"Труба для водоснабжения полиэтиленовая, диаметр 351-400 мм",14193491-1 Трубы (по лотам),Труба для водоснабжения,790,18 407 000.00,Открытый конкурс,Закупка состоялась
73386448-ОК2,222121.530.010070,"Труба для водоснабжения полиэтиленовая, диаметр 351-400 мм",13955602-1 Закуп полиэтиленовых труб,Труба для водоснабжения,1110,25 863 000.00,Открытый конкурс,Закупка состоялась
74687714-ОК2,222121.530.010070,"Труба для водоснабжения полиэтиленовая, диаметр 351-400 мм",14167510-1 Приобретение полиэтиленовых труб,Труба для водоснабжения,1180,54 280 000.00,Открытый конкурс,Закупка состоялась
79214204-ОИ2,222121.530.010070,"Труба для водоснабжения полиэтиленовая, диаметр 351-400 мм","15071775-1 Труба полиэтиленовая, наружний диаметр 400 мм, толщина стенки 23,7 мм",Труба для водоснабжения,800,26 880 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010071,"Труба для водоснабжения полиэтиленовая, диаметр 401-450 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
78875755-ОК2,222121.530.010071,"Труба для водоснабжения полиэтиленовая, диаметр 401-450 мм",14914566-1 Трубы полиэтиленовые для СКСиП,Труба для водоснабжения,1008,34 066 368.00,Открытый конкурс,Закупка состоялась
