№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79681072-ОК6,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15599584-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681077-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79682316-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608697-1 тұрғын үй сатып алу,Здание,3,320 034 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79683701-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15500397-1 Текущий ремонт водопровода в с.Кабырга Катон-Карагайского района ВКО,Работы по текущему ремонту систем водоснабжения/водопровода,1,35 714 285.71,Открытый конкурс,Закупка состоялась
79684036-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684066-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684070-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684076-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684103-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684104-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684109-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684115-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684120-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79684125-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15608715-1 тұрғын үй сатып алу,Здание,1,31 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79685532-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15807061-1 Приобретение пожарного поста в селе Баймырза Бухар-Жырауского района Карагандинской области,Здание,1,32 142 857.14,Открытый конкурс,Закупка состоялась
79690188-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15449359-1 Государственные закупка для ТОО ""Автобусный парк ""Кызылорда""",Двигатель,10,67 000 000.00,Открытый конкурс,Закупка состоялась
79690347-ЗЖ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15575277-1 Приобретение жилья для социально уязвимых слоев населения (СУСН) в Карасайском районе Алматинской области,Здание,1,28 800 000.00,Закупка жилища,Закупка состоялась
79690354-ЗЖ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15574770-1 Приобретение жилья для социально уязвимых слоев населения (СУСН) в Карасайском районе Алматинской области,Здание,1,28 800 000.00,Закупка жилища,Закупка состоялась
79690425-ЗЖ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15575277-1 Приобретение жилья для социально уязвимых слоев населения (СУСН) в Карасайском районе Алматинской области,Здание,1,28 800 000.00,Закупка жилища,Закупка состоялась
79690472-ЗЖ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15574770-1 Приобретение жилья для социально уязвимых слоев населения (СУСН) в Карасайском районе Алматинской области,Здание,1,28 800 000.00,Закупка жилища,Закупка состоялась
79694505-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15538815-1 Средний ремонт внутрипоселковых дорог в с. Буденное (ул. Жамбыла, ул. Целинная), Нежинского сельского округа, района имени Габита Мусрепова, Северо-Казахстанской области",Работы по среднему ремонту автомобильной дороги,1,88 537 792.00,Открытый конкурс,Закупка состоялась
79695482-ОИ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15701710-1 Көлік құралдарын сатып алу (жүк көлігі (фургон),Автомобиль,1,22 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79701086-ОИ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15793587-1 Приобретение лекарственных средств,Натрия левофолинат,2400,18 979 176.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79704674-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15813076-1 Государственные закупки автотранспорта для филиалов РГП «Казаэронавигация»,Автомобиль,1,21 490 000.00,Открытый конкурс,Закупка состоялась
79704684-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15813076-1 Государственные закупки автотранспорта для филиалов РГП «Казаэронавигация»,Автомобиль,1,21 490 000.00,Открытый конкурс,Закупка состоялась
79707874-КРБС2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15443999-1 (Повторная). Услуги технического надзора по объекту «Реконструкция автомобильной дороги Актау-Форт-Шевченко, 89 км» (участок 43-132 км) II пусковой комплекс (км 73-км 104)»",Услуги по осуществлению технического надзора в сфере строительной деятельности,1,245 553 183.00,Конкурс с использованием рейтингово-балльной системы,Закупка состоялась
79708098-ОИнеГЗ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15639535-1 Услуги техники (КДМ. 2 ед.),Услуги по аренде специальной техники с водителем,1,26 337 250.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
79708108-ОИнеГЗ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15639535-1 Услуги техники (КДМ. 2 ед.),Услуги по аренде специальной техники с водителем,1,26 337 250.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
79708109-ОТ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15588206-1 Услуги техники (КДМ),Услуги по аренде специальной техники с водителем,1,26 337 250.00,Тендер,Закупка состоялась
79708110-ОИнеГЗ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15500036-1 Услуги КДМ с пылесосом,Услуги по аренде специальной техники с водителем,1,193 199 500.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
79709561-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15671580-2 Приобретение досмотрового (рентгено-телевизионного) оборудования с сопутствующими услугами,Комплекс инспекционно-досмотровый,1,30 000 000.00,Открытый конкурс,Закупка состоялась
