№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
81407547-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15951444-1 Услуги финансового лизинга на приобретение транспортных средств,Услуги по финансовому лизингу,1,762 436 281.25,Из одного источника по несостоявшимся закупкам,Закупка состоялась
75035549-ОК1,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15796866-2 Текущий ремонт здание нежилого под офис сельского округа Кажымухан, Ордабасинского района, Туркестанской области",Работы по текущему ремонту нежилых зданий/сооружений/помещений,1,28 001 904.00,Открытый конкурс,Закупка состоялась
81435835-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15877149-1 Приобретение здания для ветеринарного пункта в с.Жусандыой Каратобинского района, ЗКО",Здание,1,16 000 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80397977-ЗЦП2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15875374-1 Приобретение здания ветеринарной пункт в Уялинском сельском округе,Здание,1,15 000 000.00,Запрос ценовых предложений,Закупка состоялась
80891517-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15874956-1 Услуги по сделкам в области лизингового кредитования,Услуги по финансовому лизингу,1,321 294 262.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80927121-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15874925-1 Услуги по сделкам в области лизингового кредитования,Услуги по финансовому лизингу,1,230 113 912.50,Из одного источника по несостоявшимся закупкам,Закупка состоялась
76625256-ЗЦП3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15873599-1 Жазатайым оқиғалардан сақтандыру бойынша қызметтер,Услуги по страхованию от несчастных случаев,1,19 111 843.28,Запрос ценовых предложений,Закупка состоялась
81331173-ОИ4,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15866884-1 Услуги по финансовому лизингу на приобретение транспортных средств (подметально-вакуумная машина (пылесос) на шасси),Услуги по финансовому лизингу,1,762 436 281.25,Из одного источника по несостоявшимся закупкам,Закупка состоялась
82813737-ЗЦП1,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15866788-1 медициналық техниканы сатып алу,Анализатор,2,15 000 000.00,Запрос ценовых предложений,Закупка состоялась
82281036-ОИ2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15864310-1 Колесный трактор 90 л.с.,Трактор,1,15 625 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
