№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
75560633-ОК2,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т",13862431-1 Приобретение спецтехники - автокран,Автомобиль,1,69 642 857.14,Открытый конкурс,Закупка состоялась
78158833-ОК2,291041.400.000001,"Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом",15787784-1 Грузовой дизельный самосвал,Автомобиль,1,37 000 000.00,Открытый конкурс,Закупка состоялась
80654903-ОК1,291041.400.000001,"Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом","15656511-1 Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом для КГУ ""Управление развития общественных пространств города Алматы""",Автомобиль,5,205 250 000.00,Открытый конкурс,Закупка состоялась
77208630-ОК3,291041.400.000001,"Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом",14776469-1 Приобретение грузового автомобиля c прицепом,Автомобиль,1,41 600 000.00,Открытый конкурс,Закупка состоялась
77412001-ОК2,291041.400.000001,"Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом",14242219-1 Приобретение автомобилей грузовых-самосвалов,Автомобиль,2,67 857 142.86,Открытый конкурс,Закупка состоялась
74575278-ОК2,291041.400.000001,"Автомобиль грузовой, дизельный, самосвал, грузоподъемность более 20 т, тип платформа с опрокидывающимся кузовом",13966992-1 Самосвал с дизельным двигателем,Автомобиль,1,36 000 000.00,Открытый конкурс,Закупка состоялась
80653413-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15656894-2 Манипулятор грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т для КГУ ""Управление развития общественных пространств города Алматы""",Автомобиль,3,143 490 000.00,Открытый конкурс,Закупка состоялась
80652784-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15656997-1 Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т для КГУ ""Управление развития общественных пространств города Алматы""",Автомобиль,4,126 000 000.00,Открытый конкурс,Закупка состоялась
79201805-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15615546-3 Приобретение передвижного инсинератора для ГУ ""Управление ветеринарии Мангистауской области""",Автомобиль,3,254 464 285.80,Открытый конкурс,Закупка состоялась
74633457-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15318606-1 Проведение государственной закупки товара для ""Департамент полиции города Астаны Министерства внутренних дел Республики Казахстан""",Автомобиль,5,390 000 000.00,Открытый конкурс,Закупка состоялась
79541718-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15212545-3 Государственная закупка товара для ГУ ""Департамент полиции города Астаны Министерства внутренних дел Республики Казахстан""",Автомобиль,3,234 000 000.00,Открытый конкурс,Закупка состоялась
76759645-ОИ5,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",15204106-1 Эвакуатор со стационарной платформой ломаного типа,Автомобиль,1,19 804 464.28,Из одного источника по несостоявшимся закупкам,Закупка состоялась
74758261-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",15153653-1 Приобретение грузового автомобиля,Автомобиль,1,38 000 000.00,Открытый конкурс,Закупка состоялась
78476334-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","15105995-1 Приобретение Автомобиль бортовой для ГКП на праве хозяйственного ведения ""ОЗЕНИНВЕСТ"" акимата города Жанаозен",Автомобиль,1,27 000 000.00,Открытый конкурс,Закупка состоялась
77068836-ОИ2,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14709382-1 Приобретение Автотранспорт грузовой,Автомобиль,2,26 000 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78622783-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14640042-1 приобретение служебного автотранспорта,Автомобиль,1,74 345 000.00,Открытый конкурс,Закупка состоялась
76090273-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14468233-2 Приобретение служебного автотранспорта,Автомобиль,1,19 250 000.00,Открытый конкурс,Закупка состоялась
77852427-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14471637-1 Приобретение автотранспортных средств,Автомобиль,1,78 000 000.00,Открытый конкурс,Закупка состоялась
78502347-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","14443273-1 Передвижной инсинератор для перевозки и погрузки/разгрузки грузов общего назначения,с бортовой платформой с крано-манипуляторной установкой",Автомобиль,1,56 760 000.00,Открытый конкурс,Закупка состоялась
76661523-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14274915-2 Приобретение спецавтомобиля - крематора (инсинератор),Автомобиль,3,227 678 571.42,Открытый конкурс,Закупка состоялась
74322458-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14260696-1 Приобретение грузового автомобиля (согл.тех.спец),Автомобиль,2,99 464 000.00,Открытый конкурс,Закупка состоялась
73949887-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",14107731-2 Приобретение автомобиля (согл. тех.спец),Автомобиль,1,75 892 857.14,Открытый конкурс,Закупка состоялась
74192340-ОК2,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","14102062-1 Приобретение грузового бортового автомобиля для КГУ ""Кувское хозяйство по охране лесов и животного мира""",Автомобиль,1,23 800 000.00,Открытый конкурс,Закупка состоялась
74493366-ОК2,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т","14023801-1 Приобретение автомобилей для ГУ ""Управление ветеринарии Актюбинской области""",Автомобиль,2,148 214 285.72,Открытый конкурс,Закупка состоялась
74503536-ОК2,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",13916967-3 Приобретение автотранспортных средств,Автомобиль,2,88 826 785.72,Открытый конкурс,Закупка состоялась
77411777-ОИ2,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",13939410-1 Государственная закупка автомобиль,Автомобиль,1,27 200 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
73574727-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",13861170-1 Приобретение сервисного автомобиля для обслуживания троллейбусной сети ножничного типа,Автомобиль,1,48 249 900.00,Открытый конкурс,Закупка состоялась
76867805-ОК1,291041.100.000001,"Автомобиль грузовой, дизельный, бортовой, грузоподъемность более 3,5 т, но не более 12 т",13690191-2 Приобретение передвижных инсинераторов для ветеринарных станции,Автомобиль,1,75 892 857.14,Открытый конкурс,Закупка состоялась
80289159-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",15507130-1 Приобретение колесного экскаватора,Экскаватор,1,82 000 000.00,Открытый конкурс,Закупка состоялась
80136733-ОК3,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",15468168-1 Приобретение спецтехники согласно техспецификации для ГКП Урджарского района области Абай,Экскаватор,1,21 353 437.50,Открытый конкурс,Закупка состоялась
80152876-ОК1,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","15359201-1 Экскаватор одноковшовый на базе трактора для ГКП ""Горводоканал""",Экскаватор,1,26 500 000.00,Открытый конкурс,Закупка состоялась
79129286-ОК4,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","15224135-1 Колесный экскаватор для АО ""Астана-Энергия""",Экскаватор,1,105 357 143.00,Открытый конкурс,Закупка состоялась
79042629-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",14969123-1 Государственные закупки экскаватора колесного,Экскаватор,1,86 429 000.00,Открытый конкурс,Закупка состоялась
78330301-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",14529922-1 Приобретение колесного экскаватора,Экскаватор,1,98 081 250.00,Открытый конкурс,Закупка состоялась
77366890-ОК4,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","14450046-1 Повторное объявление/Колесный экскаватор с объемам ковша 0.89/0,9 м 3 в комлекте с навесным оборудованием (Квик-каплер быстросъемный механизм, вибротрамбовка, гидромолот )",Экскаватор,1,77 298 714.28,Открытый конкурс,Закупка состоялась
