№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
74117060-ЗЦП2,282922.100.000001,Огнетушитель порошковый,"14743236-1 Закупки товаров: огнетушители, крепления к ним, трос сантехнический (г.Астана)",Огнетушитель,15,75 000.00,Запрос ценовых предложений,Закупка состоялась
78873561-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14742703-1 Огнетушитель порошковый ОП-5 предназначенный для тушения,Огнетушитель,1,6 000.00,Запрос ценовых предложений,Закупка не состоялась
78527340-ЗЦП3,282922.100.000001,Огнетушитель порошковый,"14741570-1 Приобретение товаров для автомобиля (средство от следов насекомых, огнетушитель)",Огнетушитель,1,3 850.00,Запрос ценовых предложений,Закупка не состоялась
78905870-ЗЦП3,282922.100.000001,Огнетушитель порошковый,14741137-1 Огнетушитель порошковый (ЦА)// повтор,Огнетушитель,6,23 928.00,Запрос ценовых предложений,Закупка не состоялась
78613416-ОИ3,282922.100.000001,Огнетушитель порошковый,14741153-1 Приобретение автономных модули пожаротушения – порошкового Тунгуса,Огнетушитель,13,715 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78708137-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14740875-1 Материалы тех безопасности,Огнетушитель,20,220 000.00,Запрос ценовых предложений,Закупка не состоялась
78907840-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14740700-1 Қосалқы бөлшектер сатып алу,Огнетушитель,1,5 000.00,Запрос ценовых предложений,Закупка не состоялась
78744690-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14740215-1 запасные часть автотранспорта,Огнетушитель,20,174 000.00,Запрос ценовых предложений,Закупка не состоялась
78861353-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14739176-1 Огнетушитель (порошковый) ОП-5,Огнетушитель,10,49 990.00,Запрос ценовых предложений,Закупка не состоялась
78163007-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14738838-1 огнетушитель для автомобиля,Огнетушитель,1,4 000.00,Запрос ценовых предложений,Закупка не состоялась
76917930-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14738391-1 Приобретение запасных частей на Автобус,Огнетушитель,3,18 750.00,Запрос ценовых предложений,Закупка не состоялась
78960287-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14738000-1 Приобретение огнетушитель переносной (ручной),Огнетушитель,20,142 857.20,Запрос ценовых предложений,Закупка состоялась
78890266-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14736999-1 Приобретение огнетушителя ОП-2,Огнетушитель,3,18 750.00,Запрос ценовых предложений,Закупка состоялась
74815243-ЗЦП3,282922.100.000001,Огнетушитель порошковый,14735112-1 Приобретение прочих запасов - огнетушитель.,Огнетушитель,2,10 000.00,Запрос ценовых предложений,Закупка не состоялась
79035951-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14735077-1 Огнетушитель для пожара,Огнетушитель,10,80 000.00,Запрос ценовых предложений,Закупка не состоялась
78948121-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14733353-1 Приобретение автомобильных огнетушителей,Огнетушитель,15,90 000.00,Запрос ценовых предложений,Закупка состоялась
79031688-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14732530-1 Приобретение огнетушителей порошковых,Огнетушитель,6,45 535.74,Запрос ценовых предложений,Закупка не состоялась
78937536-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14732097-1 Приобретение прочих запасов/ огнетушитель,Огнетушитель,1,8 035.71,Запрос ценовых предложений,Закупка не состоялась
78835317-ОИ4,282922.100.000001,Огнетушитель порошковый,14731934-1 Хозяйственные товары для филиала Енбек Тараз /повтор,Огнетушитель,5,19 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78816086-ЗЦП3,282922.100.000001,Огнетушитель порошковый,14731625-1 Приобретение товаров для автомобиля,Огнетушитель,1,4 000.00,Запрос ценовых предложений,Закупка не состоялась
78955223-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14731505-1 Приобретение огнетушителей порошковый ОП-4 и порошковый огнетушитель ОП-5/,Огнетушитель,5,37 500.00,Запрос ценовых предложений,Закупка состоялась
78443800-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14731316-1 Приобретение канцелярских и хозяйственных товаров,Огнетушитель,3,30 000.00,Запрос ценовых предложений,Закупка состоялась
78815058-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14730823-1 Приобретение огнетушитель автомобильного,Огнетушитель,20,53 800.00,Запрос ценовых предложений,Закупка не состоялась
78795224-ЗЦП3,282922.100.000001,Огнетушитель порошковый,14730022-1 Приобретение огнетушителя порошкового,Огнетушитель,10,35 000.00,Запрос ценовых предложений,Закупка не состоялась
79008770-ЗЦПнеГЗ1,282922.100.000001,Огнетушитель порошковый,"14729496-1 Закупка СИЗ и средств противопожарной безопасности для КОФ ТОО ""КАЖсервис""",Огнетушитель,75,468 750.00,Запрос ценовых предложений (не ГЗ new),Закупка не состоялась
73864284-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14729227-1 Огнетушитель порошковый переносной (ручной) ОП-5,Огнетушитель,20,120 000.00,Запрос ценовых предложений,Закупка не состоялась
78573005-ОИ3,282922.100.000001,Огнетушитель порошковый,14729138-1 Приобретение огнетушителя ОП 5,Огнетушитель,1,6 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
36539326-ОЛ-ЗЦП1,282922.100.000001,Огнетушитель порошковый,"14728842-1 закуп огнетушителей ОП,ОУ",закуп огнетушителей,3,151 380.00,Запрос ценовых предложений,Закупка не состоялась
78967546-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14728771-1 Приобретение огнетушителей ОП-5,Огнетушитель,10,75 000.00,Запрос ценовых предложений,Закупка состоялась
77775177-ЗЦПнеГЗ3,282922.100.000001,Огнетушитель порошковый,14728557-1 Приобретения хоз товаров,Огнетушитель,4,14 800.00,Запрос ценовых предложений (не ГЗ new),Закупка не состоялась
78688208-ОИ3,282922.100.000001,Огнетушитель порошковый,14727197-1 Огнетушитель порошковый ОП,Огнетушитель,10,30 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
74760136-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14726785-1 приобретение товара огнетушители,Огнетушитель,2,11 419.04,Запрос ценовых предложений,Закупка не состоялась
78905317-ОИ3,282922.100.000001,Огнетушитель порошковый,"14725867-1 Огнетушитель порошковый ОП-10 (Е-Жайык, Уральск)",Огнетушитель,6,55 178.58,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78963644-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14725770-1 Приобретение огнетушитель порошковый с креплением на стену для КГКП Актогайский КДЦ и 19 сельских клубов Актогайского района Карагандинской области. Согласно технической спецификаций. Доставку обеспечить до село Актогай Актогайского района Карагандинской области ул. А. Бокейхана 2.,Огнетушитель,116,932 142.36,Запрос ценовых предложений,Закупка не состоялась
78942690-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14725458-1 Приобретение знак безопасности/ аптечка медицинская/ огнетушитель,Огнетушитель,1,3 500.00,Запрос ценовых предложений,Закупка не состоялась
74764290-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14725450-1 Государственные закупки пожарных товаров,Огнетушитель,50,332 053.50,Запрос ценовых предложений,Закупка не состоялась
73395255-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14725389-1 Приобретение огнетушителя ОП 5,Огнетушитель,12,90 000.00,Запрос ценовых предложений,Закупка не состоялась
78952611-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14724770-1 Приобретение огнетушителей порошковых,Огнетушитель,26,169 000.00,Запрос ценовых предложений,Закупка состоялась
75898786-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14724460-1 Приобретение огнетушителя для служебного автомобиля,Огнетушитель,1,5 000.00,Запрос ценовых предложений,Закупка не состоялась
78200945-ОИ3,282922.100.000001,Огнетушитель порошковый,14723592-1 Приобретение хозяйственных товаров,Огнетушитель,3,46 500.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78970044-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14723356-1 Приобретение огнетушителей согласно технической характеристике,Огнетушитель,32,85 714.24,Запрос ценовых предложений,Закупка не состоялась
76136273-ЗЦП2,282922.100.000001,Огнетушитель порошковый,"14723087-1 Лак яхтный,Краска алкидная (цвет согласовать заказчиком),Огнетушитель",Огнетушитель,30,150 000.00,Запрос ценовых предложений,Закупка состоялась
78570195-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14723061-1 приобретение запчастей саймандар,Огнетушитель,14,91 000.00,Запрос ценовых предложений,Закупка не состоялась
78990356-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14721694-1 Приобретение товаров для пожарной безопасности,Огнетушитель,6,34 821.42,Запрос ценовых предложений,Закупка не состоялась
78808360-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14721683-1 Товары по пожарной безопастности 1,Огнетушитель,5,40 000.00,Запрос ценовых предложений,Закупка состоялась
74994519-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14721291-1 Приобретение огнетушителей согласно технической характеристике,Огнетушитель,3,16 071.42,Запрос ценовых предложений,Закупка не состоялась
74994333-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14721105-1 Приобретение огнетушителей согласно технической характеристике,Огнетушитель,15,176 785.65,Запрос ценовых предложений,Закупка не состоялась
