№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
73129998-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная","13845260-1 Передвижная автомастерская для АО ""Астана-Теплотранзит""",Автомобиль,3,229 821 428.55,Открытый конкурс,Закупка состоялась
75552788-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",14462450-1 Приобретение спецтехники - автомастерская,Автомобиль,1,85 615 000.00,Открытый конкурс,Закупка состоялась
76354254-ОК4,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",14152485-1 Приобретение автомобиля мастерская передвижная,Автомобиль,1,58 035 714.28,Открытый конкурс,Закупка состоялась
77194480-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",13839845-1 Специализированная техника для ГКП «Өскемен Водокнал»,Автомобиль,1,37 197 321.00,Открытый конкурс,Закупка состоялась
77509511-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",13954147-3 Приобретение автомобиля мастерская передвижная,Автомобиль,1,58 035 714.28,Открытый конкурс,Закупка состоялась
77972210-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная","14439042-1 Авторемонтная мастерская на шасси грузового автомобиля согласно технической спецификации для ГКП ""Костанай-СУ""",Автомобиль,1,36 800 000.00,Открытый конкурс,Закупка состоялась
78122422-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",14240194-2 Передвижная аварийная мастерская,Автомобиль,4,140 000 000.00,Открытый конкурс,Закупка состоялась
78428051-ЗЦП2,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",15805943-1 Автомобиль специализированный вахтовый автобус,Автомобиль,1,28 000 000.00,Запрос ценовых предложений,Закупка состоялась
78428051-ОИ3,291059.999.000049,"Автомобиль специализированный, мастерская передвижная","14468425-1 Автомобиль специализированный, мастерская передвижная",Автомобиль,1,31 000 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79121438-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",14803945-1 Автомастерская на шасси,Автомобиль,1,22 000 000.00,Открытый конкурс,Закупка состоялась
79269215-ОК1,291059.999.000049,"Автомобиль специализированный, мастерская передвижная","14919734-1 Приобретение передвижная мастерская на шасси для АО ""Aqtobe su-energy group""",Автомобиль,6,150 000 000.00,Открытый конкурс,Закупка состоялась
79326777-ОИ2,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",14968154-1 Приобретение автомастерской на шасси,Автомобиль,1,29 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79995877-ОК3,291059.999.000049,"Автомобиль специализированный, мастерская передвижная",15340981-1  передвижная мастерская ПАРМ на шасси,Автомобиль,1,45 500 000.00,Открытый конкурс,Закупка состоялась
73831908-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","13608599-1 Автомобиль Комплекс передвижной неотложной медицинской помощи для линейных, кардиологических, реанимационных бригад и бригад интенсивной терапии на баз",Автомобиль,2,52 000 000.00,Открытый конкурс,Закупка состоялась
75408068-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14538030-1 Приобретение автомобиля скорой медицинской помощи КГП на ПХВ ""Кызылжарская районная больница"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
75451880-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14017034-1 Приобретение автотранспорта для КГП на ПХВ «Областной центр скорой медицинской помощи» КГУ «Управление здравоохранения акимата Северо- Казахстанской области»,Автомобиль,2,48 000 000.00,Открытый конкурс,Закупка состоялась
75546459-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14530718-1 Приобретение автотранспорта для КГП на ПХВ «Жамбылская районная больница» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
75909768-ЗЦП2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14969538-1 Приобретение специализированного автомобиля инватакси для перевозки для людей с ограниченными возможностями (инвалидностью),Автомобиль,1,25 500 000.00,Запрос ценовых предложений,Закупка состоялась
76443819-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",13738941-1 Приобретение автомобиля (СП),Автомобиль,10,280 000 000.00,Открытый конкурс,Закупка состоялась
76444215-ОК4,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",15164125-1 Приобретение специальной автомобили для транспортировки пациентов (повторная закупка),Автомобиль,15,812 400 000.00,Открытый конкурс,Закупка состоялась
76656371-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","13895774-1 Товары, согласно технической спецификации",Автомобиль,1,30 000 000.00,Открытый конкурс,Закупка состоялась
78160366-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14520961-1 Приобретение автомобилей скорой медицинской помощи для КГП на ПХВ «Областной центр скорой медицинской помощи» КГУ «Управление здравоохранения акимата Северо- Казахстанской области»,Автомобиль,4,120 000 000.00,Открытый конкурс,Закупка состоялась
78237857-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14573525-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ «Районная больница района Магжана Жумабаева» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78241217-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14533478-1 Приобретение автотранспорта для КГП на ПХВ ""Айыртауская районная больница"" КГУ Управление здравоохранения акимата СКО",Автомобиль,2,44 196 428.00,Открытый конкурс,Закупка состоялась
78241522-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14570670-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ ""Мамлютская районная больница"" КГУ  ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78306738-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14342904-2 Приобретение автотранспорта для КГП на ПХВ ""Районная больница района Шал акына"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78332179-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14532158-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ «Явленская районная больница» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
79666446-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","15072748-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ ""Кызылжарская районная больница"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,21 000 000.00,Открытый конкурс,Закупка состоялась
80289343-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",15380608-1 Приобретение специальной автомобили для транспортировки пациентов,Автомобиль,15,812 400 000.00,Открытый конкурс,Закупка состоялась
